feature_name,mean_abs_shap,rank
4_swa,0.5471597,1
weight_reinforcement,0.51154655,2
5_swa,0.41533908,3
degree_reinforcement,0.4103844,4
23_swa,0.37540463,5
5_swg,0.3658162,6
0_swa,0.3172404,7
23_swh,0.31553674,8
23_swg,0.3134921,9
9_swg,0.309993,10
degree_balance,0.3053603,11
0_swh,0.30299088,12
20_swa,0.29328376,13
3_swa,0.2578274,14
4_swh,0.23749585,15
24_swa,0.23564324,16
24_swh,0.23554148,17
15_swg,0.23235479,18
3_swh,0.22980708,19
14_swa,0.22487985,20
16_swa,0.22145969,21
4_swg,0.21099691,22
17_swa,0.20385203,23
15_swh,0.1987167,24
22_swh,0.19091602,25
13_swa,0.18689722,26
22_swa,0.18541351,27
6_swa,0.17699285,28
24_swg,0.17659955,29
21_swa,0.1692276,30
9_swh,0.1664622,31
22_swg,0.15645918,32
12_swg,0.15361737,33
16_swg,0.15282966,34
lifetime_one_edge,0.15064794,35
3_swg,0.14916392,36
21_swh,0.14087221,37
9_swa,0.14061528,38
10_swa,0.13749552,39
5_swh,0.13700609,40
16_swh,0.13003924,41
6_swg,0.1274382,42
17_swh,0.12720464,43
1_swa,0.12336117,44
10_swg,0.118910566,45
hcn,0.11857731,46
7_swa,0.112672284,47
18_swh,0.10973391,48
8_swh,0.09955365,49
14_swg,0.09772601,50
lifetime_two_edges,0.09641444,51
1_swg,0.09169065,52
17_swg,0.091036454,53
timescale_density_balance,0.0908685,54
2_swh,0.0854727,55
0_swg,0.0851162,56
11_swa,0.08403549,57
19_swh,0.08230747,58
10_swh,0.081900924,59
12_swh,0.079446696,60
6_swh,0.07824587,61
19_swg,0.07765572,62
19_swa,0.0727902,63
20_swh,0.07120362,64
1_swh,0.0666082,65
15_swa,0.06319199,66
11_swg,0.06298641,67
8_swa,0.058839187,68
7_swh,0.057858124,69
2_swa,0.057444237,70
18_swg,0.056681737,71
7_swg,0.054202303,72
21_swg,0.05407321,73
weight_balance,0.053551834,74
18_swa,0.051169157,75
2_swg,0.047910035,76
13_swh,0.04735315,77
14_swh,0.046766363,78
12_swa,0.046044767,79
11_swh,0.0445542,80
20_swg,0.03421667,81
8_swg,0.026676243,82
13_swg,0.022265771,83
pairwise_timescale_density,0.0,84
