feature_name,mean_abs_shap,rank
20_swa,0.85942596,1
degree_reinforcement,0.65155697,2
9_swg,0.5537453,3
weight_reinforcement,0.47160515,4
0_swh,0.44551465,5
degree_balance,0.4061882,6
23_swa,0.38904423,7
0_swa,0.35119462,8
23_swg,0.33089587,9
4_swa,0.3015333,10
5_swg,0.28679863,11
lifetime_one_edge,0.20073934,12
hcn,0.16419953,13
5_swa,0.11607875,14
timescale_density_balance,0.10771786,15
lifetime_two_edges,0.07662505,16
23_swh,0.04768162,17
weight_balance,0.04313045,18
pairwise_timescale_density,0.0,19
