feature_name,mean_abs_shap,rank
4_swh,0.48947304045730783,1
degree_reinforcement,0.4428152117647117,2
14_swg,0.4350531977012321,3
4_swa,0.3844917917455685,4
2_swa,0.3348935243509696,5
24_swa,0.32663357321044606,6
7_swg,0.3200833318482971,7
6_swa,0.2773822602524792,8
lifetime_one_edge,0.2616224340265689,9
16_swh,0.2475074432897798,10
5_swg,0.2428063448191407,11
5_swh,0.21403221071688192,12
weight_balance,0.21284505728882808,13
weight_reinforcement,0.2052592080931863,14
22_swg,0.19399079587484808,15
20_swa,0.1860373356431914,16
12_swg,0.1804377030456415,17
15_swh,0.1802813535325588,18
8_swa,0.1674865059479777,19
timescale_density_balance,0.13842270724651703,20
15_swa,0.13485017048323839,21
20_swh,0.12395266169101367,22
15_swg,0.11664735048588415,23
18_swh,0.1143605228035131,24
lifetime_two_edges,0.08500544171629233,25
3_swa,0.0671296214612481,26
hcn,0.03165852909272981,27
degree_balance,0.030092869884804918,28
pairwise_timescale_density,0.0,29
