feature_name,mean_abs_shap,rank
lifetime_one_edge,0.24100973,1
weight_reinforcement,0.21556741,2
hcn,0.19387504,3
4_swa,0.16311133,4
19_swa,0.15397607,5
degree_reinforcement,0.12549484,6
timescale_density_balance,0.11624897,7
6_swh,0.072754234,8
4_swg,0.065342635,9
weight_balance,0.06092287,10
lifetime_two_edges,0.058455,11
12_swg,0.045325227,12
18_swh,0.04476114,13
6_swg,0.04330344,14
24_swa,0.043146703,15
12_swh,0.04122815,16
22_swg,0.035931434,17
19_swg,0.031121377,18
12_swa,0.031057889,19
6_swa,0.030203443,20
23_swa,0.028837899,21
23_swh,0.028788475,22
15_swa,0.027199974,23
14_swa,0.026488138,24
7_swa,0.021872792,25
10_swa,0.021213135,26
22_swh,0.019106515,27
14_swg,0.01833681,28
2_swh,0.017664498,29
15_swh,0.016702704,30
14_swh,0.015199205,31
22_swa,0.013477303,32
18_swg,0.012473916,33
3_swg,0.012314667,34
4_swh,0.011918219,35
7_swh,0.01024301,36
2_swa,0.009719213,37
9_swa,0.0087372195,38
9_swg,0.008431277,39
19_swh,0.007473772,40
15_swg,0.007419527,41
9_swh,0.0074059563,42
degree_balance,0.0069399765,43
18_swa,0.0067826468,44
24_swh,0.0064049405,45
7_swg,0.0058477423,46
16_swh,0.005533388,47
3_swh,0.004973532,48
16_swa,0.004839094,49
10_swg,0.004812558,50
8_swh,0.0046429196,51
20_swa,0.004515134,52
16_swg,0.004144114,53
21_swh,0.0037311197,54
1_swh,0.0035672332,55
5_swh,0.0034411796,56
23_swg,0.003426446,57
8_swg,0.0034134623,58
10_swh,0.0033144637,59
24_swg,0.0031215213,60
13_swa,0.0029128494,61
21_swa,0.002897628,62
5_swg,0.0026264286,63
11_swa,0.002478785,64
8_swa,0.0024215616,65
3_swa,0.0023627342,66
1_swa,0.0022256405,67
13_swg,0.0021030675,68
2_swg,0.0020810175,69
0_swh,0.0019380164,70
11_swh,0.0019248909,71
20_swh,0.001873569,72
0_swg,0.0018603245,73
5_swa,0.0017107974,74
17_swg,0.0016952384,75
0_swa,0.0015420055,76
17_swa,0.0014576417,77
17_swh,0.0010675783,78
1_swg,0.0010568462,79
11_swg,0.0010521255,80
20_swg,0.0008657288,81
21_swg,0.0005529961,82
13_swh,0.00051619014,83
pairwise_timescale_density,0.0,84
