feature_name,mean_abs_shap,rank
10_swa,0.46548694,1
23_swa,0.451295,2
lifetime_two_edges,0.33479303,3
18_swh,0.3120137,4
10_swg,0.2960832,5
3_swh,0.23819825,6
12_swa,0.22151868,7
degree_balance,0.21858525,8
22_swh,0.17458394,9
9_swh,0.16176903,10
13_swh,0.14984813,11
weight_reinforcement,0.14703226,12
21_swa,0.14656511,13
degree_reinforcement,0.14419687,14
23_swg,0.14275236,15
24_swh,0.1375697,16
lifetime_one_edge,0.1358809,17
11_swa,0.12646012,18
5_swa,0.123743236,19
timescale_density_balance,0.123061426,20
4_swg,0.12012374,21
21_swh,0.116750814,22
21_swg,0.11167396,23
18_swg,0.103180625,24
19_swg,0.10161065,25
17_swh,0.0995777,26
5_swg,0.097786434,27
14_swg,0.09654234,28
2_swg,0.09612575,29
14_swa,0.09509436,30
4_swa,0.094242014,31
5_swh,0.09281107,32
6_swa,0.089803934,33
8_swa,0.08747066,34
17_swg,0.08737015,35
15_swa,0.086114846,36
12_swg,0.08552769,37
hcn,0.07389437,38
23_swh,0.07146618,39
11_swh,0.067416534,40
24_swa,0.066588335,41
6_swh,0.064250946,42
10_swh,0.06145739,43
16_swh,0.054841835,44
0_swh,0.05283149,45
13_swa,0.050025318,46
24_swg,0.04751348,47
19_swa,0.047095235,48
14_swh,0.042983,49
22_swg,0.04167441,50
16_swa,0.04148468,51
9_swa,0.039512545,52
18_swa,0.038335595,53
17_swa,0.03718974,54
1_swh,0.036595277,55
4_swh,0.03588294,56
weight_balance,0.033818487,57
7_swh,0.031768877,58
8_swg,0.02980487,59
3_swa,0.02941879,60
7_swa,0.028241629,61
1_swa,0.027924735,62
8_swh,0.02680463,63
1_swg,0.025172066,64
11_swg,0.023673415,65
20_swa,0.023530256,66
22_swa,0.02238101,67
2_swh,0.021732647,68
12_swh,0.021315148,69
13_swg,0.020697856,70
16_swg,0.0203355,71
3_swg,0.019897932,72
20_swh,0.019303499,73
0_swg,0.01769448,74
9_swg,0.017465983,75
0_swa,0.01643789,76
15_swg,0.015885152,77
15_swh,0.015146608,78
7_swg,0.0138908895,79
2_swa,0.013880114,80
19_swh,0.00781206,81
6_swg,0.007747351,82
20_swg,0.0,83
pairwise_timescale_density,0.0,84
