feature_name,mean_abs_shap,rank
10_swa,1.34802,1
3_swh,1.1748819,2
10_swg,1.0618509,3
9_swh,0.926757,4
degree_reinforcement,0.87859106,5
18_swh,0.8561247,6
23_swa,0.83472157,7
lifetime_two_edges,0.78783256,8
22_swh,0.6429207,9
12_swa,0.631664,10
degree_balance,0.62742823,11
13_swh,0.53411436,12
weight_reinforcement,0.46121204,13
timescale_density_balance,0.46024492,14
21_swa,0.44542888,15
lifetime_one_edge,0.2842524,16
hcn,0.24392186,17
weight_balance,0.21179245,18
pairwise_timescale_density,0.0,19
