feature_name,mean_abs_shap,rank
21_swa,0.4635614015821476,1
2_swa,0.4155990132224384,2
4_swh,0.34532237749385686,3
degree_balance,0.3233248230378009,4
10_swa,0.31681341236938176,5
weight_reinforcement,0.2416954712351691,6
16_swa,0.18344598542900245,7
timescale_density_balance,0.165528254907429,8
19_swh,0.1568319503663842,9
8_swa,0.15559097583763304,10
22_swg,0.12753614719030254,11
degree_reinforcement,0.12124739934651334,12
14_swa,0.1020874616844084,13
9_swh,0.08978354931527929,14
weight_balance,0.08755235360680573,15
17_swa,0.08489191797094395,16
20_swh,0.07522579094021933,17
14_swh,0.057733632374538796,18
6_swg,0.050812456143618165,19
9_swa,0.049210740097233856,20
12_swa,0.042053681636633325,21
12_swh,0.036358535267788095,22
11_swa,0.01490016600403457,23
23_swa,0.012450289607735587,24
13_swh,0.012289307926487875,25
15_swh,0.007612214621860752,26
lifetime_two_edges,0.004719921351500469,27
20_swa,0.0,28
24_swg,0.0,29
14_swg,0.0,30
24_swa,0.0,31
15_swa,0.0,32
23_swh,0.0,33
15_swg,0.0,34
23_swg,0.0,35
22_swh,0.0,36
22_swa,0.0,37
16_swg,0.0,38
16_swh,0.0,39
21_swh,0.0,40
21_swg,0.0,41
17_swg,0.0,42
17_swh,0.0,43
18_swa,0.0,44
20_swg,0.0,45
18_swg,0.0,46
18_swh,0.0,47
19_swa,0.0,48
19_swg,0.0,49
hcn,0.0,50
13_swg,0.0,51
1_swh,0.0,52
4_swa,0.0,53
3_swh,0.0,54
3_swg,0.0,55
3_swa,0.0,56
2_swh,0.0,57
2_swg,0.0,58
1_swg,0.0,59
13_swa,0.0,60
1_swa,0.0,61
0_swh,0.0,62
0_swg,0.0,63
0_swa,0.0,64
lifetime_one_edge,0.0,65
pairwise_timescale_density,0.0,66
4_swg,0.0,67
5_swa,0.0,68
5_swg,0.0,69
5_swh,0.0,70
6_swa,0.0,71
6_swh,0.0,72
7_swa,0.0,73
7_swg,0.0,74
7_swh,0.0,75
8_swg,0.0,76
8_swh,0.0,77
9_swg,0.0,78
10_swg,0.0,79
10_swh,0.0,80
11_swg,0.0,81
11_swh,0.0,82
12_swg,0.0,83
24_swh,0.0,84
