feature_name,mean_abs_shap,rank
weight_reinforcement,0.06802846815508512,1
2_swa,0.017527255611766906,2
18_swg,0.009321958520039092,3
timescale_density_balance,0.0048218955022662265,4
18_swh,0.0044405516726981524,5
8_swh,0.003800620179665224,6
degree_balance,0.0037982006395225545,7
4_swh,0.0037763900811418976,8
3_swh,0.003000515159660721,9
8_swg,0.002694464685797186,10
8_swa,0.0025601130703850187,11
6_swg,0.0025382256792593834,12
24_swa,0.0025088564740241635,13
23_swa,0.0024472439798093075,14
4_swg,0.002437914888506566,15
1_swh,0.0023228496985526997,16
22_swa,0.0023175953831945264,17
1_swg,0.0021797831236226874,18
17_swa,0.0019583305332476885,19
6_swh,0.0016097996025489852,20
21_swh,0.0015628819596652048,21
6_swa,0.0014700311945154217,22
12_swa,0.0014325409195179795,23
0_swh,0.0013716871338146173,24
hcn,0.0013339879554553726,25
1_swa,0.0013042335890479234,26
3_swa,0.0012680356033118536,27
lifetime_two_edges,0.0012507220226980866,28
9_swa,0.0011672605161706145,29
17_swg,0.0011359052761367638,30
11_swa,0.0010994535163371527,31
16_swa,0.0010618499205363458,32
4_swa,0.0010467199358273154,33
18_swa,0.001019537465812359,34
22_swh,0.0009951653858725708,35
3_swg,0.0009642772392194228,36
9_swg,0.0009490793584351223,37
10_swa,0.0009296322388188642,38
19_swa,0.0008872858289372355,39
5_swa,0.0008492588332535034,40
9_swh,0.0008391172768414142,41
0_swg,0.0008266715379678837,42
17_swh,0.0007722945837472433,43
weight_balance,0.0006944443133525395,44
5_swh,0.0006724193405227357,45
21_swa,0.0006341634559992171,46
5_swg,0.0005799102008011549,47
21_swg,0.0005157961407441873,48
7_swg,0.000489266060699555,49
19_swh,0.00044106986035843596,50
20_swg,0.00037249663199518106,51
13_swa,0.00035429598647394715,52
20_swh,0.0003507339232961067,53
15_swa,0.0003293870097021849,54
23_swh,0.0003243052897635884,55
23_swg,0.0003229388656169361,56
degree_reinforcement,0.00031543464301320975,57
lifetime_one_edge,0.00029996550659417705,58
13_swg,0.0002874418867302888,59
0_swa,0.0002749682599201323,60
14_swa,0.000257439363397512,61
22_swg,0.000237313333721449,62
14_swh,0.00022650166097471603,63
15_swh,0.00018641918564384633,64
7_swa,0.00017406521972742383,65
13_swh,0.0001593356244628598,66
7_swh,0.00011402339716998936,67
20_swa,0.00010746956939628468,68
10_swg,9.020116246224873e-05,69
11_swg,8.430634712376485e-05,70
12_swg,3.886630155722631e-05,71
19_swg,0.0,72
11_swh,0.0,73
2_swg,0.0,74
10_swh,0.0,75
12_swh,0.0,76
2_swh,0.0,77
16_swh,0.0,78
16_swg,0.0,79
15_swg,0.0,80
14_swg,0.0,81
pairwise_timescale_density,0.0,82
24_swg,0.0,83
24_swh,0.0,84
