feature_name,mean_abs_shap,rank
weight_reinforcement,0.39763218,1
degree_balance,0.19578345,2
3_swh,0.14274298,3
18_swg,0.12344214,4
2_swa,0.112749316,5
8_swh,0.10247492,6
1_swg,0.08738841,7
18_swh,0.08734838,8
23_swa,0.08252764,9
17_swa,0.07576599,10
weight_balance,0.06781327,11
degree_reinforcement,0.06666603,12
9_swh,0.06386868,13
timescale_density_balance,0.058535874,14
18_swa,0.053064898,15
lifetime_one_edge,0.0151301725,16
lifetime_two_edges,0.013321801,17
hcn,0.0035038698,18
pairwise_timescale_density,0.0,19
