feature_name,mean_abs_shap,rank
13_swa,0.8670641204188468,1
8_swg,0.7250389202430052,2
9_swa,0.6396943928128134,3
10_swa,0.42388581042648277,4
17_swa,0.377877384181801,5
2_swa,0.3341720854790083,6
weight_reinforcement,0.278381939054157,7
timescale_density_balance,0.23735034088523355,8
13_swg,0.23520042543645672,9
lifetime_one_edge,0.22440385269408772,10
0_swa,0.21093549815156065,11
16_swh,0.19861469929282147,12
22_swh,0.19298331645956726,13
1_swa,0.16085330645627474,14
8_swh,0.14735271050877677,15
degree_reinforcement,0.14402304320444984,16
23_swa,0.140296823426026,17
0_swg,0.1325089369962184,18
14_swh,0.1254607632436611,19
0_swh,0.12263577682991166,20
4_swh,0.11960311537238116,21
lifetime_two_edges,0.11957280401500037,22
12_swg,0.09797192037042979,23
19_swg,0.09314524813026184,24
11_swa,0.08882727292877467,25
2_swh,0.07776261685038019,26
14_swa,0.06961883255300372,27
24_swa,0.0538701024409566,28
15_swh,0.05360644284785244,29
1_swg,0.04485897639202408,30
3_swh,0.031187639218006383,31
18_swh,0.030195000136836896,32
weight_balance,0.028395490034744737,33
23_swh,0.02092413700215536,34
1_swh,0.014162502719198392,35
10_swg,0.012970474966971386,36
hcn,0.012672438663871865,37
21_swa,0.011877492081195314,38
degree_balance,0.010253341368443723,39
20_swa,0.010077589708033725,40
13_swh,0.0,41
pairwise_timescale_density,0.0,42
9_swg,0.0,43
18_swa,0.0,44
18_swg,0.0,45
4_swa,0.0,46
19_swa,0.0,47
3_swg,0.0,48
19_swh,0.0,49
