feature_name,mean_abs_shap,rank
weight_reinforcement,1.1255195,1
14_swa,0.4039756,2
timescale_density_balance,0.3950438,3
18_swa,0.37567118,4
lifetime_two_edges,0.35620922,5
degree_reinforcement,0.3478011,6
13_swa,0.3330024,7
22_swh,0.30276346,8
13_swg,0.27189666,9
22_swa,0.27071685,10
9_swg,0.24053158,11
3_swa,0.23739666,12
3_swh,0.21951538,13
10_swa,0.21741855,14
2_swa,0.20458087,15
20_swa,0.20191796,16
13_swh,0.20091769,17
12_swa,0.18300657,18
5_swa,0.16904435,19
22_swg,0.16816401,20
weight_balance,0.16689862,21
21_swg,0.16672179,22
21_swa,0.15912715,23
4_swh,0.15533938,24
7_swh,0.15233073,25
18_swg,0.15203613,26
4_swg,0.1500422,27
10_swg,0.14087644,28
degree_balance,0.14057499,29
10_swh,0.1381402,30
16_swh,0.1368733,31
11_swa,0.13215476,32
17_swa,0.13200952,33
lifetime_one_edge,0.12980875,34
21_swh,0.12899263,35
6_swa,0.12771156,36
14_swg,0.121747375,37
19_swa,0.12122256,38
9_swa,0.11737774,39
0_swa,0.113651365,40
9_swh,0.110921696,41
17_swg,0.09633502,42
4_swa,0.09290583,43
20_swh,0.09241879,44
18_swh,0.092105485,45
7_swa,0.08990381,46
8_swh,0.08891329,47
0_swh,0.08875952,48
14_swh,0.085768625,49
15_swa,0.08212974,50
7_swg,0.0821245,51
8_swa,0.08135771,52
6_swh,0.07966925,53
20_swg,0.07931644,54
0_swg,0.075926915,55
3_swg,0.071060576,56
1_swh,0.069567606,57
5_swh,0.06750504,58
23_swa,0.06673448,59
5_swg,0.06346005,60
17_swh,0.06110707,61
16_swa,0.05927493,62
6_swg,0.056256343,63
19_swg,0.0546013,64
16_swg,0.05015277,65
1_swg,0.04565738,66
12_swg,0.04326779,67
19_swh,0.04134035,68
15_swh,0.04118036,69
1_swa,0.03812473,70
8_swg,0.038087692,71
2_swh,0.034544654,72
24_swa,0.03411518,73
11_swh,0.029485464,74
12_swh,0.022194294,75
15_swg,0.021502549,76
hcn,0.019262189,77
11_swg,0.01852084,78
2_swg,0.015028616,79
23_swg,0.014042852,80
23_swh,0.010855148,81
24_swg,0.00018784787,82
24_swh,0.00015919982,83
pairwise_timescale_density,0.0,84
