feature_name,mean_abs_shap,rank
degree_reinforcement,0.9821578619590082,1
24_swa,0.6313495180249402,2
5_swa,0.5695798857718838,3
degree_balance,0.5297920387036793,4
2_swg,0.3961595001296225,5
lifetime_two_edges,0.35715957338046506,6
9_swg,0.3448915889612372,7
timescale_density_balance,0.3295609674641501,8
9_swa,0.3259168253952554,9
5_swh,0.30477108127236147,10
lifetime_one_edge,0.301592775436411,11
14_swg,0.2922750736216497,12
13_swh,0.28218752816657694,13
11_swa,0.2651702019826732,14
3_swa,0.26225767975494046,15
weight_reinforcement,0.26215461922857014,16
8_swg,0.26012750676256413,17
21_swa,0.2343220613999866,18
2_swa,0.22963298869340212,19
8_swa,0.2256021821541707,20
16_swa,0.21711743858599228,21
weight_balance,0.1873551417934706,22
22_swh,0.1871157470966363,23
13_swg,0.1777252088872162,24
12_swa,0.16779544628084492,25
1_swa,0.1510779400568536,26
1_swh,0.14102227224871666,27
5_swg,0.13815037217242662,28
0_swg,0.13430521436615359,29
21_swg,0.13215773190087854,30
0_swa,0.1285964438551663,31
12_swg,0.12312256034367523,32
22_swa,0.11909948076031791,33
4_swa,0.10847958376938417,34
0_swh,0.09823166258459823,35
4_swh,0.09175135939589435,36
4_swg,0.08910369907483465,37
3_swg,0.08856094963760801,38
15_swa,0.07593515087716035,39
14_swa,0.06204096125303147,40
15_swg,0.05017015894016155,41
13_swa,0.04310656706217905,42
3_swh,0.04188629043163646,43
23_swa,0.02780050820062091,44
9_swh,0.02732237202923678,45
1_swg,0.016363650498085452,46
22_swg,0.007451986228520815,47
hcn,0.000842577274922403,48
pairwise_timescale_density,0.0,49
