feature_name,mean_abs_shap,rank
degree_reinforcement,1.3368527,1
weight_reinforcement,0.5756615,2
degree_balance,0.4328939,3
21_swh,0.29884487,4
18_swa,0.29177427,5
lifetime_one_edge,0.2912073,6
7_swa,0.26169756,7
19_swh,0.23275405,8
lifetime_two_edges,0.21135543,9
3_swh,0.20106155,10
5_swa,0.19638306,11
19_swg,0.19590524,12
19_swa,0.19403046,13
12_swh,0.18844506,14
15_swa,0.18676081,15
9_swa,0.18367083,16
timescale_density_balance,0.17134553,17
20_swa,0.17036822,18
10_swa,0.16988656,19
0_swg,0.16468929,20
3_swa,0.15254793,21
14_swh,0.13564126,22
21_swg,0.1340043,23
24_swh,0.13112552,24
4_swa,0.12927286,25
22_swa,0.12780792,26
1_swg,0.12041353,27
20_swg,0.11805077,28
weight_balance,0.11740661,29
0_swa,0.10292724,30
16_swh,0.09938187,31
5_swg,0.09773308,32
6_swa,0.09256339,33
17_swg,0.090968475,34
24_swa,0.08565513,35
3_swg,0.08470923,36
17_swa,0.08375146,37
16_swg,0.083428465,38
0_swh,0.08154173,39
21_swa,0.0801791,40
9_swh,0.07880571,41
16_swa,0.07663539,42
23_swa,0.07563954,43
7_swh,0.07476631,44
22_swh,0.06999936,45
11_swh,0.064622134,46
4_swg,0.063583,47
11_swa,0.063373975,48
15_swg,0.063011974,49
5_swh,0.062152915,50
11_swg,0.056305546,51
17_swh,0.05420306,52
2_swa,0.05378977,53
9_swg,0.05368792,54
12_swa,0.049569197,55
18_swh,0.047688644,56
1_swa,0.04340969,57
24_swg,0.042237937,58
4_swh,0.04188909,59
22_swg,0.039529108,60
14_swg,0.03703782,61
1_swh,0.03427148,62
2_swh,0.03423691,63
6_swg,0.030847752,64
8_swa,0.029598232,65
15_swh,0.028675804,66
7_swg,0.026945882,67
18_swg,0.026144067,68
13_swg,0.025357023,69
8_swh,0.024798423,70
20_swh,0.024618216,71
14_swa,0.024445063,72
8_swg,0.023908611,73
10_swg,0.023784522,74
10_swh,0.023521002,75
13_swa,0.02294144,76
6_swh,0.021231776,77
12_swg,0.017308509,78
13_swh,0.01664781,79
23_swg,0.013444247,80
2_swg,0.0050283475,81
23_swh,0.002638684,82
pairwise_timescale_density,0.0,83
hcn,0.0,84
