feature_name,mean_abs_shap,rank
weight_reinforcement,0.92601144,1
3_swa,0.7300845,2
5_swa,0.41302627,3
24_swa,0.38782415,4
0_swa,0.36322165,5
degree_reinforcement,0.35532448,6
22_swh,0.3365949,7
4_swa,0.33426932,8
8_swh,0.3304434,9
17_swh,0.32806894,10
23_swa,0.31297827,11
7_swh,0.29714778,12
14_swh,0.29412052,13
lifetime_two_edges,0.29131135,14
19_swg,0.28352976,15
19_swa,0.27780837,16
lifetime_one_edge,0.2548213,17
10_swa,0.24879971,18
9_swh,0.24738675,19
12_swa,0.2443039,20
15_swa,0.24173978,21
3_swg,0.23155463,22
20_swh,0.22757535,23
19_swh,0.2193203,24
weight_balance,0.21847595,25
0_swg,0.21556713,26
20_swa,0.20365073,27
4_swg,0.18941535,28
degree_balance,0.18790117,29
20_swg,0.18755391,30
23_swh,0.18732475,31
16_swh,0.1871405,32
13_swa,0.18449225,33
9_swa,0.18287386,34
timescale_density_balance,0.18043785,35
21_swh,0.18001679,36
21_swg,0.17980208,37
4_swh,0.1781448,38
6_swh,0.1729641,39
12_swh,0.17220053,40
14_swa,0.17150608,41
0_swh,0.17107418,42
16_swa,0.15994284,43
10_swg,0.15849787,44
21_swa,0.15514275,45
5_swg,0.15046176,46
24_swg,0.14815901,47
7_swa,0.1481154,48
6_swa,0.14317289,49
22_swg,0.14313301,50
17_swg,0.14110191,51
24_swh,0.13037251,52
10_swh,0.12393059,53
9_swg,0.12278151,54
11_swh,0.119816616,55
22_swa,0.116971776,56
18_swh,0.11231807,57
15_swg,0.11209543,58
17_swa,0.1112296,59
23_swg,0.11115291,60
8_swa,0.10987159,61
13_swh,0.10678488,62
18_swg,0.10586438,63
14_swg,0.10519621,64
18_swa,0.10402223,65
1_swh,0.103328265,66
7_swg,0.10178006,67
5_swh,0.10123412,68
12_swg,0.097629085,69
15_swh,0.095771074,70
3_swh,0.09476494,71
11_swa,0.092432775,72
8_swg,0.0905147,73
6_swg,0.085208066,74
2_swa,0.08322585,75
13_swg,0.07982669,76
16_swg,0.066891134,77
2_swh,0.060332753,78
1_swa,0.055789955,79
1_swg,0.05173582,80
11_swg,0.048126295,81
2_swg,0.041734114,82
pairwise_timescale_density,0.0,83
hcn,0.0,84
